TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
435,121,54,11,15,2,19,9,134,6,5,33,4,1,1,0,,,4,,,0,16,435
444,124,56,3,18,4,14,6,135,12,3,44,6,0,1,0,,,4,,,2,12,444
429,108,68,9,6,7,8,12,126,11,9,34,5,0,2,0,,,6,,,0,18,429
408,106,64,9,15,2,15,10,113,8,9,28,4,2,0,0,,,6,,,0,17,408
389,114,56,1,7,0,5,3,132,10,12,25,5,0,2,0,,,3,,,1,13,389
416,99,58,5,8,4,17,15,124,7,7,39,4,1,1,0,,,2,,,3,22,416
Sin dato,128,43,11,8,5,18,9,139,5,6,30,4,0,2,0,,,4,,,0,16,428
410,104,51,5,11,1,12,5,137,16,4,35,6,0,2,0,,,2,,,0,19,410
401,108,71,5,7,0,10,11,125,10,3,29,5,1,0,0,,,2,,,0,14,401
410,114,55,3,9,3,9,13,128,8,2,34,8,1,1,1,,,3,,,1,17,410
398,129,59,9,9,1,14,5,114,6,3,25,5,0,0,0,,,1,,,0,18,398
412,144,59,0,5,8,16,9,120,1,4,19,5,2,1,0,,,8,,,0,11,412
Sin dato,97,68,11,7,4,19,10,110,12,5,23,5,Sin dato,Sin dato,1,,,2,,,Sin dato,16,390
417,113,53,8,7,4,17,6,141,4,2,37,5,0,2,0,,,1,,,0,17,417
Sin dato,122,62,5,6,4,19,14,143,7,4,30,5,2,0,0,,,0,,,0,6,429
Ilegible,104,68,4,5,2,12,10,127,7,4,26,7,0,1,0,,,7,,,0,16,397
Ilegible,111,53,5,7,1,16,7,129,4,6,24,3,0,1,0,,,4,,,0,15,386
383,103,63,4,6,3,13,5,122,5,3,27,4,1,2,0,,,1,,,0,21,383
395,112,53,5,4,3,6,16,139,7,6,25,3,0,0,0,,,8,,,0,13,400
420,124,63,9,5,8,9,13,136,6,4,26,2,Sin dato,Sin dato,1,,,1,,,Sin dato,14,421
414,114,58,5,10,2,16,11,124,9,1,33,6,0,3,0,,,3,,,0,19,414
397,96,69,7,5,2,11,6,137,7,5,28,7,0,4,0,,,5,,,0,9,397
398,112,50,5,5,1,19,10,134,6,0,22,11,0,1,0,,,2,,,1,19,398
388,99,57,3,4,5,14,5,142,5,3,23,2,2,3,0,,,1,,,0,18,386
408,105,67,3,8,1,14,7,131,3,0,35,6,1,0,0,,,7,,,1,19,408
392,107,66,9,3,4,17,10,116,5,5,32,6,1,1,0,,,2,,,0,8,392
405,110,51,8,6,3,14,7,133,5,4,32,10,3,2,0,,,2,,,0,15,405
486,270,63,3,4,1,13,7,59,2,1,33,2,0,1,0,,,5,,,0,22,486
516,278,68,6,6,2,13,7,72,2,2,35,4,0,0,0,,,5,,,0,16,516
259,60,37,5,2,7,7,10,95,3,1,18,2,2,0,0,,,2,,,0,11,262
266,70,43,5,3,2,9,5,96,6,1,15,0,0,1,0,,,1,,,0,9,266
280,84,35,0,4,10,5,6,90,11,1,18,0,4,0,0,,,1,,,0,11,280
438,109,62,5,6,3,13,12,159,8,8,26,5,1,0,0,,,4,,,0,17,438
,,,,,,,,,,,,,,,,,,,,,,,
452,115,73,5,13,4,19,8,143,9,5,32,2,0,0,1,,,1,,,1,22,453
Sin dato,93,69,14,6,4,15,7,142,7,6,28,4,2,0,0,,,3,,,0,14,414
405,101,89,0,7,2,12,8,121,10,3,31,0,0,0,0,,,0,,,0,21,405
428,86,85,5,5,3,4,11,160,11,1,28,3,0,0,1,,,3,,,0,22,428
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,Sin dato,,,Sin dato,Sin dato,Sin dato
Sin dato,129,79,6,9,5,16,11,125,7,2,37,3,1,1,2,,,2,,,0,12,452
Sin dato,120,80,7,5,4,15,12,121,7,7,32,6,1,1,0,,,0,,,1,19,438
434,108,74,9,9,1,13,6,125,11,10,39,9,1,0,0,,,3,,,0,16,434
437,126,77,15,6,3,3,12,128,7,4,38,6,0,3,0,,,1,,,0,7,437
Sin dato,122,64,5,5,4,6,10,138,9,2,32,6,1,1,0,,,2,,,0,9,387
484,136,69,7,4,6,10,10,165,8,5,37,5,0,3,0,,,5,,,1,13,484
447,134,71,7,6,3,19,7,139,9,1,29,10,0,2,0,,,3,,,0,12,452
434,121,66,16,6,4,19,7,140,7,0,25,2,0,4,0,,,5,,,1,11,434
439,114,64,9,6,10,20,9,131,18,0,36,3,0,2,0,,,1,,,0,21,445
434,121,84,16,9,6,13,7,124,1,1,33,4,3,1,1,,,1,,,0,14,439
Sin dato,138,56,7,10,3,27,17,159,10,3,28,Sin dato,Sin dato,Sin dato,Sin dato,,,Sin dato,,,Sin dato,14,472
451,125,71,6,8,2,16,7,149,5,0,35,4,0,2,0,,,6,,,1,15,453
443,120,82,4,5,2,20,8,125,5,8,37,4,0,0,1,,,3,,,1,18,443
Sin dato,115,54,6,3,1,14,10,138,7,7,51,5,1,2,0,,,3,,,0,22,439
448,130,73,6,8,3,19,10,142,5,4,30,2,0,0,0,,,5,,,0,11,448
420,123,60,4,6,5,13,6,136,7,9,33,1,0,1,0,,,2,,,0,14,420
446,111,84,3,10,3,17,11,127,9,2,39,8,1,0,0,,,5,,,1,16,447
412,123,67,4,2,5,18,7,122,9,6,28,0,0,0,0,,,2,,,1,18,412
434,115,67,4,5,4,13,7,139,9,6,41,4,0,1,0,,,6,,,0,13,434
Ilegible,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,133,Ilegible,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,Sin dato,,,Sin dato,Sin dato,Sin dato
448,115,60,3,10,1,22,9,138,6,6,45,9,0,0,9,,,5,,,1,20,449
415,112,59,6,4,1,13,3,137,11,8,30,3,0,1,7,,,2,,,0,19,415
408,82,48,14,8,6,7,Ilegible,150,6,13,36,5,3,Sin dato,Sin dato,,,3,,,1,16,408
401,103,64,4,5,2,15,8,126,9,1,30,7,0,1,0,,,0,,,1,26,401
415,99,67,6,6,4,11,6,137,13,3,28,5,0,3,2,,,3,,,2,20,415
424,118,56,2,3,9,17,5,142,4,3,44,4,1,0,0,,,4,,,1,11,Sin dato
379,109,54,3,9,2,24,16,89,7,5,30,3,1,1,0,,,5,,,0,21,379
349,83,59,2,8,6,15,7,0,6,1,25,5,110,2,1,,,3,,,1,15,349
382,102,66,7,2,6,16,7,117,7,5,29,2,0,1,0,,,2,,,0,13,382
3,95,60,6,5,3,11,10,123,7,2,27,9,0,0,1,,,1,,,0,22,382
399,113,79,10,3,5,18,6,105,5,1,35,0,3,0,0,,,2,,,1,13,399
386,103,81,Sin dato,5,1,7,Sin dato,147,Sin dato,2,19,Sin dato,Sin dato,Sin dato,Sin dato,,,Sin dato,,,Sin dato,21,386
343,77,63,7,5,3,17,8,115,6,2,28,3,1,1,0,,,0,,,0,10,346
413,131,53,4,5,2,20,6,124,5,5,33,5,2,0,0,,,4,,,1,13,413
432,133,59,6,7,7,9,14,140,5,3,27,2,0,1,0,,,1,,,0,18,432
404,122,50,7,6,6,12,11,138,5,2,28,7,0,1,0,,,1,,,1,8,404
425,111,63,2,9,6,9,5,140,6,5,39,8,0,2,0,,,2,,,1,19,427
403,132,48,7,6,2,12,7,131,4,4,32,7,0,1,0,,,3,,,0,7,403
375,112,57,5,8,4,7,8,106,7,1,34,4,1,0,0,,,1,,,1,19,375
383,124,74,4,3,0,8,7,117,1,1,23,1,0,0,1,,,3,,,0,16,383
372,104,53,6,6,3,11,10,119,8,4,25,2,0,2,0,,,2,,,0,15,370
377,119,76,8,10,2,9,7,97,4,3,24,1,0,1,0,,,5,,,1,10,377
379,122,71,4,9,5,11,9,88,9,3,25,5,0,0,0,,,1,,,1,20,383
276,60,87,5,1,1,8,6,68,3,2,15,1,1,3,0,,,4,,,0,11,276
280,59,65,4,3,5,10,10,88,7,0,11,4,0,3,1,,,4,,,0,6,280
287,57,65,2,3,4,9,4,105,6,0,10,4,2,0,0,,,2,,,1,13,287
500,226,71,8,9,5,7,6,106,6,2,26,6,2,2,0,,,0,,,0,18,500
493,198,98,7,6,3,11,4,105,5,2,30,2,1,0,0,,,3,,,0,18,493
486,206,95,0,4,4,11,6,101,5,4,29,2,1,0,5,,,2,,,1,15,491
484,198,105,8,7,1,6,10,88,3,0,28,0,6,0,0,,,5,,,0,19,484
430,134,85,11,6,3,12,6,111,5,2,34,0,0,0,0,,,1,,,0,19,430
481,169,66,2,6,0,12,5,156,2,3,31,2,0,1,0,,,6,,,0,20,481
393,106,55,6,6,7,20,6,116,13,5,27,1,0,1,0,,,0,,,1,22,393
