ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,B,1,0,B,121,54,11,14,2,19,9,133,6,5,33,4,1,2,0,,,,,,4,,,,,,,,418,0,17,435,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,1,0,C01,124,56,3,18,4,14,6,135,12,3,44,6,0,1,0,,,,,,4,,,,,,,,430,2,12,444,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,2,0,C02,109,68,9,6,7,8,13,124,11,9,34,6,0,2,0,,,,,,6,,,,,,,,412,0,17,429,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,3,0,C03,106,64,9,15,2,15,10,111,8,8,28,4,2,1,0,,,,,,5,,,,,,,,388,1,19,408,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,4,0,C04,115,56,1,7,1,5,3,132,10,13,25,5,0,2,0,,,,,,3,,,,,,,,378,1,10,389,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,5,0,C05,99,58,5,8,4,17,15,124,7,7,39,4,1,1,0,,,,,,2,,,,,,,,391,3,22,416,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,6,0,C06,116,54,10,8,5,19,9,135,5,6,30,4,0,3,0,,,,,,3,,,,,,,,407,0,16,423,684,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,7,0,C07,113,52,8,7,4,17,6,137,4,2,37,5,1,2,0,,,,,,0,,,,,,,,395,0,2,397,684,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,8,0,C08,108,70,5,7,0,10,11,125,10,3,29,5,1,0,0,,,,,,2,,,,,,,,386,0,15,401,684,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,278,B,1,0,B,114,55,3,9,3,9,14,128,8,2,34,8,1,1,0,,,,,,3,,,,,,,,392,1,17,410,745,Grupo de recuento,,,
